ダウンロード実行日,2014年01月26日現在,件数,10135件
ＥＤＩＮＥＴコード,提出者種別,上場区分,連結の有無,資本金,決算日,提出者名,提出者名（英字）,提出者名（ヨミ）,所在地,提出者業種,証券コード
"E00060","内国法人・組合","上場","有","23513"," 3月31日","西松建設株式会社","Nishimatsu Construction  Co., Ltd.","ニシマツケンセツカブシキガイシャ","港区虎ノ門一丁目２０番１０号","建設業","18200"
"E00061","内国法人・組合","上場","有","19350"," 3月31日","前田道路株式会社","MAEDA ROAD CONSTRUCTION CO.,LTD.","マエダドウロカブシキガイシャ","品川区大崎１丁目１１番３号","建設業","18830"
"E00063","内国法人・組合","上場","有","5519"," 3月31日","飛島建設株式会社","TOBISHIMA CORPORATION","トビシマケンセツカブシキガイシャ","千代田区九段北１丁目１３番５号","建設業","18050"
"E00064","内国法人・組合","上場","有","4000"," 3月31日","松井建設株式会社","MATSUI CONSTRUCTION CO., LTD.","マツイケンセツカブシキガイシャ","中央区新川一丁目１７番２２号","建設業","18100"
"E00065","内国法人・組合","上場","有","18293"," 3月31日","鉄建建設株式会社","TEKKEN CORPORATION","テッケンケンセツカブシキガイシャ","千代田区三崎町二丁目５番３号","建設業","18150"
"E00066","内国法人・組合","上場","有","7584"," 3月31日","東亜道路工業株式会社","TOA DORO KOGYO CO., LTD.","トウアドウロコウギョウカブシキガイシャ","港区六本木七丁目３番７号","建設業","18820"
"E00067","内国法人・組合","上場","有","12290"," 3月31日","日本道路株式会社","THE NIPPON ROAD CO.,LTD.","ニッポンドウロカブシキガイシャ","港区新橋一丁目６番５号","建設業","18840"
"E00069","内国法人・組合","上場","有","3695"," 3月31日","株式会社錢高組","THE ZENITAKA CORPORATION","カブシキガイシャゼニタカグミ","大阪市西区西本町２丁目２番１１号","建設業","18110"
"E00070","内国法人・組合","上場","有","5468"," 3月31日","日鉄住金テックスエンジ株式会社","NIPPON STEEL & SUMIKIN TEXENG.CO.,LTD.","ニッテツスミキンテックスエンジカブシキガイシャ","千代田区丸の内二丁目５番２号","建設業","18190"
"E00073","内国法人・組合","上場","有","3481"," 3月31日","株式会社中電工","CHUDENKO CORPORATION","カブシキガイシャチュウデンコウ","広島市中区小網町６番１２号","建設業","19410"
"E00074","内国法人・組合","上場","有","10264"," 3月31日","株式会社関電工","KANDENKO CO.,LTD.","カブシキガイシャカンデンコウ","港区芝浦４丁目８番３３号","建設業","19420"
"E00075","内国法人・組合","上場","有","26411"," 3月31日","株式会社きんでん","KINDEN CORPORATION","カブシキガイシャキンデン","大阪市北区本庄東二丁目３番４１号","建設業","19440"
"E00076","内国法人・組合","上場","有","7680"," 3月31日","株式会社トーエネック","TOENEC CORPORATION","カブシキガイシャトーエネック","名古屋市中区栄１丁目２０番３１号","建設業","19460"
"E00077","内国法人・組合","上場","有","5610"," 3月31日","大明株式会社","","ダイメイカブシキガイシャ","品川区西五反田二丁目１１番２０号","建設業",""
"E00078","内国法人・組合","上場","有","7393"," 6月30日","日本工営株式会社","Nippon Koei Co., Ltd.","ニホンコウエイカブシキガイシャ","千代田区麹町５丁目４番地","サービス業","19540"
